geneID,names
CopciAB_501445.T0,nob1
CopciAB_500405.T0,fas1
CopciAB_447925.T0,cfs1
CopciAB_365330.T0,cfs2
CopciAB_492962.T0,cryA
CopciAB_369621.T0,wc-1
CopciAB_361584.T0,dst-2
CopciAB_493277.T0,Melanin
CopciAB_152667.T0,farnesyl cysteine-carboxyl methyltransferase
CopciAB_354499.T0,farnesyl cysteine-carboxyl methyltransferase
CopciAB_516649.T0,mating pheromone-con-taining protein
CopciAB_473274.T0,cgl1
CopciAB_488611.T0,cgl2
CopciAB_539794.T0,cgl3
CopciAB_545797.T0,ich1
CopciAB_408308.T0,lcc1
CopciAB_49560.T0,hypothetical protein
