Protein_accession	uni_ipro_access	uni_ipro_desc	uni_GO_annot
CopciAB_1000006.T0	IPR001650__IPR027417	Helicase, C-terminal__P-loop containing nucleoside triphosphate hydrolase	-__-
CopciAB_1000010.T0	IPR021109	Aspartic peptidase domain superfamily	-
CopciAB_1000018.T0	IPR005162	Retrotransposon gag domain	-
CopciAB_1000023.T0	IPR032567__IPR005162__IPR036875	LDOC1-related__Retrotransposon gag domain__Zinc finger, CCHC-type superfamily	-__-__GO:0003676|GO:0008270
CopciAB_1000037.T0	IPR012334__IPR011050__IPR024535__IPR039279	Pectin lyase fold__Pectin lyase fold/virulence factor__Pectate lyase superfamily protein__Polygalacturonase QRT3-like	-__-__-__GO:0004650
CopciAB_1000080.T0	IPR005162__IPR001878__IPR032567__IPR036875	Retrotransposon gag domain__Zinc finger, CCHC-type__LDOC1-related__Zinc finger, CCHC-type superfamily	-__GO:0003676|GO:0008270__-__GO:0003676|GO:0008270
CopciAB_1000086.T0	IPR001117__IPR008972__IPR045087	Multicopper oxidase, second cupredoxin domain__Cupredoxin__Multicopper oxidase	-__-__-
CopciAB_1000100.T0	IPR013087	Zinc finger C2H2-type	-
CopciAB_1000105.T0	IPR013087__IPR036236	Zinc finger C2H2-type__Zinc finger C2H2 superfamily	-__-
CopciAB_1000115.T0	IPR047122__IPR013149__IPR036291__IPR020843__IPR011032__IPR013154	Trans-enoyl reductase-like__Alcohol dehydrogenase-like, C-terminal__NAD(P)-binding domain superfamily__Polyketide synthase, enoylreductase domain__GroES-like superfamily__Alcohol dehydrogenase-like, N-terminal	GO:0016651__-__-__GO:0016491__-__-
CopciAB_1000116.T0	IPR036291__IPR005886__IPR016040	NAD(P)-binding domain superfamily__UDP-glucose 4-epimerase__NAD(P)-binding domain	-__GO:0003978|GO:0006012__-
CopciAB_1000120.T0	IPR016181__IPR000182	Acyl-CoA N-acyltransferase__GNAT domain	-__GO:0016747
CopciAB_1000130.T0	IPR036390__IPR000994__IPR036005__IPR002468__IPR036388__IPR018349__IPR001714	Winged helix DNA-binding domain superfamily__Peptidase M24__Creatinase/aminopeptidase-like__Peptidase M24A, methionine aminopeptidase, subfamily 2__Winged helix-like DNA-binding domain superfamily__Peptidase M24A, methionine aminopeptidase, subfamily 2, binding site__Peptidase M24, methionine aminopeptidase	-__-__-__GO:0006508|GO:0070006__-__-__-
CopciAB_1000132.T0	IPR024660__IPR016024__IPR011989	UNC-45/Cro1/She4, central domain__Armadillo-type fold__Armadillo-like helical	-__-__-
CopciAB_1000133.T0	IPR001783__IPR026017__IPR017938__IPR023366	Lumazine-binding protein__Lumazine-binding domain__Riboflavin synthase-like beta-barrel__ATP synthase subunit alpha, N-terminal domain-like superfamily	-__-__-__-
CopciAB_1000138.T0	IPR001901__IPR023391__IPR008158	Protein translocase complex, SecE/Sec61-gamma subunit__Protein translocase SecE domain superfamily__Protein translocase SEC61 complex, gamma subunit	GO:0006605|GO:0006886|GO:0016020__-__GO:0008320|GO:0015031|GO:0016020
CopciAB_1000139.T0	IPR020588__IPR020587__IPR003593__IPR016467__IPR013632__IPR010995__IPR027417__IPR011940	DNA recombination and repair protein RecA-like, ATP-binding domain__DNA recombination and repair protein RecA, monomer-monomer interface__AAA+ ATPase domain__DNA recombination and repair protein, RecA-like__DNA recombination and repair protein Rad51-like, C-terminal__DNA repair Rad51/transcription factor NusA, alpha-helical__P-loop containing nucleoside triphosphate hydrolase__Meiotic recombination protein Dmc1	GO:0003677|GO:0005524|GO:0006281|GO:0140664__GO:0003677|GO:0005524|GO:0006259|GO:0008094__-__-__-__GO:0000166__-__GO:0000150|GO:0003677|GO:0005634|GO:0007131
CopciAB_1000145.T0	IPR046896	LYR motif-containing protein Cup1-like, N-terminal domain	-
